date_id,full_date,quarter_name,day_of_week,day_name,is_weekend,week_of_year
20220101,2022-01-01,Q1,6,Saturday,1,52
20220102,2022-01-02,Q1,7,Sunday,0,52
20220103,2022-01-03,Q1,1,Monday,0,1
20220104,2022-01-04,Q1,2,Tuesday,0,1
20220105,2022-01-05,Q1,3,Wednesday,0,1
20220106,2022-01-06,Q1,4,Thursday,0,1
20220107,2022-01-07,Q1,5,Friday,1,1
20220108,2022-01-08,Q1,6,Saturday,1,1
20220109,2022-01-09,Q1,7,Sunday,0,1
20220110,2022-01-10,Q1,1,Monday,0,2
20220111,2022-01-11,Q1,2,Tuesday,0,2
20220112,2022-01-12,Q1,3,Wednesday,0,2
20220113,2022-01-13,Q1,4,Thursday,0,2
20220114,2022-01-14,Q1,5,Friday,1,2
20220115,2022-01-15,Q1,6,Saturday,1,2
20220116,2022-01-16,Q1,7,Sunday,0,2
20220117,2022-01-17,Q1,1,Monday,0,3
20220118,2022-01-18,Q1,2,Tuesday,0,3
20220119,2022-01-19,Q1,3,Wednesday,0,3
20220120,2022-01-20,Q1,4,Thursday,0,3
20220121,2022-01-21,Q1,5,Friday,1,3
20220122,2022-01-22,Q1,6,Saturday,1,3
20220123,2022-01-23,Q1,7,Sunday,0,3
20220124,2022-01-24,Q1,1,Monday,0,4
20220125,2022-01-25,Q1,2,Tuesday,0,4
20220126,2022-01-26,Q1,3,Wednesday,0,4
20220127,2022-01-27,Q1,4,Thursday,0,4
20220128,2022-01-28,Q1,5,Friday,1,4
20220129,2022-01-29,Q1,6,Saturday,1,4
20220130,2022-01-30,Q1,7,Sunday,0,4
20220131,2022-01-31,Q1,1,Monday,0,5
20220201,2022-02-01,Q1,2,Tuesday,0,5
20220202,2022-02-02,Q1,3,Wednesday,0,5
20220203,2022-02-03,Q1,4,Thursday,0,5
20220204,2022-02-04,Q1,5,Friday,1,5
20220205,2022-02-05,Q1,6,Saturday,1,5
20220206,2022-02-06,Q1,7,Sunday,0,5
20220207,2022-02-07,Q1,1,Monday,0,6
20220208,2022-02-08,Q1,2,Tuesday,0,6
20220209,2022-02-09,Q1,3,Wednesday,0,6
20220210,2022-02-10,Q1,4,Thursday,0,6
20220211,2022-02-11,Q1,5,Friday,1,6
20220212,2022-02-12,Q1,6,Saturday,1,6
20220213,2022-02-13,Q1,7,Sunday,0,6
20220214,2022-02-14,Q1,1,Monday,0,7
20220215,2022-02-15,Q1,2,Tuesday,0,7
20220216,2022-02-16,Q1,3,Wednesday,0,7
20220217,2022-02-17,Q1,4,Thursday,0,7
20220218,2022-02-18,Q1,5,Friday,1,7
20220219,2022-02-19,Q1,6,Saturday,1,7
20220220,2022-02-20,Q1,7,Sunday,0,7
20220221,2022-02-21,Q1,1,Monday,0,8
20220222,2022-02-22,Q1,2,Tuesday,0,8
20220223,2022-02-23,Q1,3,Wednesday,0,8
20220224,2022-02-24,Q1,4,Thursday,0,8
20220225,2022-02-25,Q1,5,Friday,1,8
20220226,2022-02-26,Q1,6,Saturday,1,8
20220227,2022-02-27,Q1,7,Sunday,0,8
20220228,2022-02-28,Q1,1,Monday,0,9
20220301,2022-03-01,Q1,2,Tuesday,0,9
20220302,2022-03-02,Q1,3,Wednesday,0,9
20220303,2022-03-03,Q1,4,Thursday,0,9
20220304,2022-03-04,Q1,5,Friday,1,9
20220305,2022-03-05,Q1,6,Saturday,1,9
20220306,2022-03-06,Q1,7,Sunday,0,9
20220307,2022-03-07,Q1,1,Monday,0,10
20220308,2022-03-08,Q1,2,Tuesday,0,10
20220309,2022-03-09,Q1,3,Wednesday,0,10
20220310,2022-03-10,Q1,4,Thursday,0,10
20220311,2022-03-11,Q1,5,Friday,1,10
20220312,2022-03-12,Q1,6,Saturday,1,10
20220313,2022-03-13,Q1,7,Sunday,0,10
20220314,2022-03-14,Q1,1,Monday,0,11
20220315,2022-03-15,Q1,2,Tuesday,0,11
20220316,2022-03-16,Q1,3,Wednesday,0,11
20220317,2022-03-17,Q1,4,Thursday,0,11
20220318,2022-03-18,Q1,5,Friday,1,11
20220319,2022-03-19,Q1,6,Saturday,1,11
20220320,2022-03-20,Q1,7,Sunday,0,11
20220321,2022-03-21,Q1,1,Monday,0,12
20220322,2022-03-22,Q1,2,Tuesday,0,12
20220323,2022-03-23,Q1,3,Wednesday,0,12
20220324,2022-03-24,Q1,4,Thursday,0,12
20220325,2022-03-25,Q1,5,Friday,1,12
20220326,2022-03-26,Q1,6,Saturday,1,12
20220327,2022-03-27,Q1,7,Sunday,0,12
20220328,2022-03-28,Q1,1,Monday,0,13
20220329,2022-03-29,Q1,2,Tuesday,0,13
20220330,2022-03-30,Q1,3,Wednesday,0,13
20220331,2022-03-31,Q1,4,Thursday,0,13
20220401,2022-04-01,Q2,5,Friday,1,13
20220402,2022-04-02,Q2,6,Saturday,1,13
20220403,2022-04-03,Q2,7,Sunday,0,13
20220404,2022-04-04,Q2,1,Monday,0,14
20220405,2022-04-05,Q2,2,Tuesday,0,14
20220406,2022-04-06,Q2,3,Wednesday,0,14
20220407,2022-04-07,Q2,4,Thursday,0,14
20220408,2022-04-08,Q2,5,Friday,1,14
20220409,2022-04-09,Q2,6,Saturday,1,14
20220410,2022-04-10,Q2,7,Sunday,0,14
20220411,2022-04-11,Q2,1,Monday,0,15
20220412,2022-04-12,Q2,2,Tuesday,0,15
20220413,2022-04-13,Q2,3,Wednesday,0,15
20220414,2022-04-14,Q2,4,Thursday,0,15
20220415,2022-04-15,Q2,5,Friday,1,15
20220416,2022-04-16,Q2,6,Saturday,1,15
20220417,2022-04-17,Q2,7,Sunday,0,15
20220418,2022-04-18,Q2,1,Monday,0,16
20220419,2022-04-19,Q2,2,Tuesday,0,16
20220420,2022-04-20,Q2,3,Wednesday,0,16
20220421,2022-04-21,Q2,4,Thursday,0,16
20220422,2022-04-22,Q2,5,Friday,1,16
20220423,2022-04-23,Q2,6,Saturday,1,16
20220424,2022-04-24,Q2,7,Sunday,0,16
20220425,2022-04-25,Q2,1,Monday,0,17
20220426,2022-04-26,Q2,2,Tuesday,0,17
20220427,2022-04-27,Q2,3,Wednesday,0,17
20220428,2022-04-28,Q2,4,Thursday,0,17
20220429,2022-04-29,Q2,5,Friday,1,17
20220430,2022-04-30,Q2,6,Saturday,1,17
20220501,2022-05-01,Q2,7,Sunday,0,17
20220502,2022-05-02,Q2,1,Monday,0,18
20220503,2022-05-03,Q2,2,Tuesday,0,18
20220504,2022-05-04,Q2,3,Wednesday,0,18
20220505,2022-05-05,Q2,4,Thursday,0,18
20220506,2022-05-06,Q2,5,Friday,1,18
20220507,2022-05-07,Q2,6,Saturday,1,18
